user_id,2019-04,2019-06,2019-02,2019-01,2019-05,2019-08,2019-07,2019-03,2018-11,2018-12
1.56327E+12,0,0,0,0,0,2,0,0,0,0
1.56701E+12,0,0,0,0,0,1,0,0,0,0
1.56381E+12,0,0,0,0,0,10,0,0,0,0
1.56649E+12,0,0,0,0,0,7,0,0,0,0
1.56547E+12,0,0,0,0,0,4,0,0,0,0
1.56638E+12,0,0,0,0,0,8,0,0,0,0
1.56603E+12,0,0,0,0,0,6,0,0,0,0
1.56697E+12,0,0,0,0,0,1,0,0,0,0
1.56649E+12,0,0,0,0,0,1,0,0,0,0
1.56525E+12,0,0,0,0,0,1,0,0,0,0
1.56623E+12,0,0,0,0,0,3,0,0,0,0
1.56448E+12,0,0,0,0,0,2,1,0,0,0
1.56301E+12,0,0,0,0,0,0,6,0,0,0
1.56598E+12,0,0,0,0,0,3,0,0,0,0
1.55621E+12,0,0,0,0,0,1,0,0,0,0
1.56649E+12,0,0,0,0,0,1,0,0,0,0
1.5652E+12,0,0,0,0,0,11,0,0,0,0
1.56466E+12,0,0,0,0,0,2,0,0,0,0
1.56698E+12,0,0,0,0,0,1,0,0,0,0
1.56597E+12,0,0,0,0,0,1,0,0,0,0
1.56235E+12,0,0,0,0,0,0,10,0,0,0
1.56458E+12,0,0,0,0,0,2,1,0,0,0
1.56691E+12,0,0,0,0,0,1,0,0,0,0
1.5655E+12,0,0,0,0,0,6,0,0,0,0
1.558E+12,0,0,0,0,0,1,1,0,0,0
1.56613E+12,0,0,0,0,0,3,0,0,0,0
1.55859E+12,0,0,0,0,0,1,0,0,0,0
1.55145E+12,0,0,0,0,0,0,0,3,0,0
1.56476E+12,0,0,0,0,0,2,0,0,0,0
1.56485E+12,0,0,0,0,0,2,0,0,0,0
1.5645E+12,0,0,0,0,0,1,0,0,0,0
1.56451E+12,0,0,0,0,0,1,0,0,0,0
1.56602E+12,0,0,0,0,0,5,0,0,0,0
1.56604E+12,0,0,0,0,0,6,0,0,0,0
1.56611E+12,0,0,0,0,0,2,0,0,0,0
1.564E+12,0,0,0,0,0,1,1,0,0,0
1.55802E+12,0,0,0,0,0,1,1,0,0,0
1.56612E+12,0,0,0,0,0,2,0,0,0,0
1.56465E+12,0,0,0,0,0,2,0,0,0,0
1.55294E+12,0,0,0,0,0,0,0,1,0,0
1.56615E+12,0,0,0,0,0,5,0,0,0,0
1.56405E+12,0,0,0,0,0,1,0,0,0,0
1.56585E+12,0,0,0,0,0,1,0,0,0,0
1.56674E+12,0,0,0,0,0,1,0,0,0,0
